config.name,config.description,config.content.factory,config.content.factory_path,config.content.factory_args,config.content.ansatz_name,config.content.loss,config.content.loss_path,config.content.variable_args.shift,config.content.variable_args.n,config.content.variable_args.theta,config.content.variable_args.weights,config.content.static_args.a,args.a,args.shift,args.n,args.theta,args.weights,results.nit,results.nfev,results.njev,results.nhev,results.cg_niter,results.cg_stop_cond,results.fun,results.grad,results.lagrangian_grad,results.constr,results.jac,results.constr_nfev,results.constr_njev,results.constr_nhev,results.v,results.method,results.x,results.optimality,results.constr_violation,results.execution_time,results.tr_radius,results.constr_penalty,results.status,results.niter,results.success,results.message
power,Configuration to test the Power Pulses with differents shifts and n for Ito integrals up to theta.,PowerFactory,pulse_opt.pulses.power_factory,"['shift', 'n']",Power series,PowerLoss,pulse_opt.integrals.losses,"[0.0, 0.25, 0.5, 0.75, 1.0]","[1, 2, 4, 8, 16, 32]","[0.78539816339, 1.57079632679, 2.35619449019, 3.14159265359]","['equal', 'covariance', 'variance', 'deterministic', 'variance_plus_deterministic']",1.0,1.0,0.0,1,2.35619449019,equal,43,135,45,0,42,1,1.3648869473254273,[0.39001751 0.19499763],[ 4.45234459e-06 -8.90468918e-06],[array([0.])],"[array([[1. , 0.5]])]",[135],[0],[0],[array([-0.39001306])],equality_constrained_sqp,[-3.57546826  9.15093651],8.904689175387448e-06,0.0,0.6620323657989502,4.178419472805067,1.0,1,43,True,`gtol` termination condition is satisfied.
power,Configuration to test the Power Pulses with differents shifts and n for Ito integrals up to theta.,PowerFactory,pulse_opt.pulses.power_factory,"['shift', 'n']",Power series,PowerLoss,pulse_opt.integrals.losses,"[0.0, 0.25, 0.5, 0.75, 1.0]","[1, 2, 4, 8, 16, 32]","[0.78539816339, 1.57079632679, 2.35619449019, 3.14159265359]","['equal', 'covariance', 'variance', 'deterministic', 'variance_plus_deterministic']",1.0,1.0,0.0,1,2.35619449019,covariance,43,129,43,0,42,1,-0.4672316459516297,[0.38838162 0.19418678],[ 1.61296916e-06 -3.22593833e-06],[array([-4.4408921e-16])],"[array([[1. , 0.5]])]",[129],[0],[0],[array([-0.38838001])],equality_constrained_sqp,[-3.48820393  8.97640786],3.2259383277999376e-06,4.440892098500626e-16,0.26282811164855957,7.147486206136854,1.0,1,43,True,`gtol` termination condition is satisfied.
power,Configuration to test the Power Pulses with differents shifts and n for Ito integrals up to theta.,PowerFactory,pulse_opt.pulses.power_factory,"['shift', 'n']",Power series,PowerLoss,pulse_opt.integrals.losses,"[0.0, 0.25, 0.5, 0.75, 1.0]","[1, 2, 4, 8, 16, 32]","[0.78539816339, 1.57079632679, 2.35619449019, 3.14159265359]","['equal', 'covariance', 'variance', 'deterministic', 'variance_plus_deterministic']",1.0,1.0,0.0,1,2.35619449019,variance,12,36,12,0,11,1,1.0600909418827937,[0.16914978 0.08449148],[ 3.33620028e-05 -6.67240057e-05],[array([0.])],"[array([[1. , 0.5]])]",[36],[0],[0],[array([-0.16911641])],equality_constrained_sqp,[-1.95773054  5.91546108],6.672400565314873e-05,0.0,0.18719148635864258,18.336109148765566,1.0,1,12,True,`gtol` termination condition is satisfied.
power,Configuration to test the Power Pulses with differents shifts and n for Ito integrals up to theta.,PowerFactory,pulse_opt.pulses.power_factory,"['shift', 'n']",Power series,PowerLoss,pulse_opt.integrals.losses,"[0.0, 0.25, 0.5, 0.75, 1.0]","[1, 2, 4, 8, 16, 32]","[0.78539816339, 1.57079632679, 2.35619449019, 3.14159265359]","['equal', 'covariance', 'variance', 'deterministic', 'variance_plus_deterministic']",1.0,1.0,0.0,1,2.35619449019,deterministic,91,273,91,0,90,1,0.4326108345687117,[0.11266271 0.05632952],[ 7.34885795e-07 -1.46977159e-06],[array([0.])],"[array([[1. , 0.5]])]",[273],[0],[0],[array([-0.11266197])],equality_constrained_sqp,[-6.17479942 14.34959884],1.4697715909200992e-06,0.0,0.5389156341552734,21.203909532714803,1.0,1,91,True,`gtol` termination condition is satisfied.
power,Configuration to test the Power Pulses with differents shifts and n for Ito integrals up to theta.,PowerFactory,pulse_opt.pulses.power_factory,"['shift', 'n']",Power series,PowerLoss,pulse_opt.integrals.losses,"[0.0, 0.25, 0.5, 0.75, 1.0]","[1, 2, 4, 8, 16, 32]","[0.78539816339, 1.57079632679, 2.35619449019, 3.14159265359]","['equal', 'covariance', 'variance', 'deterministic', 'variance_plus_deterministic']",1.0,1.0,0.0,1,2.35619449019,variance_plus_deterministic,59,180,60,0,58,1,1.9318200032910848,[0.15299951 0.07650398],[-1.69176316e-06  3.38352632e-06],[array([0.])],"[array([[1. , 0.5]])]",[180],[0],[0],[array([-0.1530012])],equality_constrained_sqp,[-5.51751612 13.03503225],3.383526319164498e-06,0.0,0.41918087005615234,2.7156700617292753,1.0,1,59,True,`gtol` termination condition is satisfied.
power,Configuration to test the Power Pulses with differents shifts and n for Ito integrals up to theta.,PowerFactory,pulse_opt.pulses.power_factory,"['shift', 'n']",Power series,PowerLoss,pulse_opt.integrals.losses,"[0.0, 0.25, 0.5, 0.75, 1.0]","[1, 2, 4, 8, 16, 32]","[0.78539816339, 1.57079632679, 2.35619449019, 3.14159265359]","['equal', 'covariance', 'variance', 'deterministic', 'variance_plus_deterministic']",1.0,1.0,0.0,1,3.14159265359,equal,52,156,52,0,51,1,1.4694644990220895,[0.31379609 0.15695455],[-2.26030530e-05  4.52061061e-05],[array([0.])],"[array([[1. , 0.5]])]",[156],[0],[0],[array([-0.31381869])],equality_constrained_sqp,[-2.87469324  7.74938649],4.5206106055545314e-05,0.0,0.9021689891815186,5.798996667210545,1.0,1,52,True,`gtol` termination condition is satisfied.
power,Configuration to test the Power Pulses with differents shifts and n for Ito integrals up to theta.,PowerFactory,pulse_opt.pulses.power_factory,"['shift', 'n']",Power series,PowerLoss,pulse_opt.integrals.losses,"[0.0, 0.25, 0.5, 0.75, 1.0]","[1, 2, 4, 8, 16, 32]","[0.78539816339, 1.57079632679, 2.35619449019, 3.14159265359]","['equal', 'covariance', 'variance', 'deterministic', 'variance_plus_deterministic']",1.0,1.0,0.0,1,3.14159265359,covariance,62,189,63,0,61,1,-0.36781188830995915,[0.28421165 0.14212279],[-6.78626516e-06  1.35725303e-05],[array([0.])],"[array([[1. , 0.5]])]",[189],[0],[0],[array([-0.28421843])],equality_constrained_sqp,[-2.81174202  7.62348403],1.357253032438499e-05,0.0,0.4090709686279297,7.509624380565346,1.0,1,62,True,`gtol` termination condition is satisfied.
power,Configuration to test the Power Pulses with differents shifts and n for Ito integrals up to theta.,PowerFactory,pulse_opt.pulses.power_factory,"['shift', 'n']",Power series,PowerLoss,pulse_opt.integrals.losses,"[0.0, 0.25, 0.5, 0.75, 1.0]","[1, 2, 4, 8, 16, 32]","[0.78539816339, 1.57079632679, 2.35619449019, 3.14159265359]","['equal', 'covariance', 'variance', 'deterministic', 'variance_plus_deterministic']",1.0,1.0,0.0,1,3.14159265359,variance,22,66,22,0,21,1,1.1199343021402681,[0.23081163 0.11536647],[ 1.57369328e-05 -3.14738656e-05],[array([-2.22044605e-16])],"[array([[1. , 0.5]])]",[66],[0],[0],[array([-0.2307959])],equality_constrained_sqp,[-1.81483644  5.62967288],3.147386559938792e-05,2.220446049250313e-16,0.11313176155090332,18.222365307239407,1.0,1,22,True,`gtol` termination condition is satisfied.
power,Configuration to test the Power Pulses with differents shifts and n for Ito integrals up to theta.,PowerFactory,pulse_opt.pulses.power_factory,"['shift', 'n']",Power series,PowerLoss,pulse_opt.integrals.losses,"[0.0, 0.25, 0.5, 0.75, 1.0]","[1, 2, 4, 8, 16, 32]","[0.78539816339, 1.57079632679, 2.35619449019, 3.14159265359]","['equal', 'covariance', 'variance', 'deterministic', 'variance_plus_deterministic']",1.0,1.0,0.0,1,3.14159265359,deterministic,37,111,37,0,36,1,0.48630445409254064,[0.25548878 0.12769435],[ 2.00169082e-05 -4.00338164e-05],[array([0.])],"[array([[1. , 0.5]])]",[111],[0],[0],[array([-0.25546877])],equality_constrained_sqp,[ 3.90570073 -5.81140146],4.0033816448931114e-05,0.0,0.25185227394104004,1.3105130940678098,1.0,1,37,True,`gtol` termination condition is satisfied.
power,Configuration to test the Power Pulses with differents shifts and n for Ito integrals up to theta.,PowerFactory,pulse_opt.pulses.power_factory,"['shift', 'n']",Power series,PowerLoss,pulse_opt.integrals.losses,"[0.0, 0.25, 0.5, 0.75, 1.0]","[1, 2, 4, 8, 16, 32]","[0.78539816339, 1.57079632679, 2.35619449019, 3.14159265359]","['equal', 'covariance', 'variance', 'deterministic', 'variance_plus_deterministic']",1.0,1.0,0.0,1,3.14159265359,variance_plus_deterministic,1,3,1,0,0,0,3.011619772367515,[-1.01161981 -0.50580987],[-1.19209291e-08  2.38418578e-08],[array([0.])],"[array([[1. , 0.5]])]",[3],[0],[0],[array([1.01161979])],equality_constrained_sqp,[1. 0.],2.3841857821338408e-08,0.0,0.0006945133209228516,1.0,1.0,1,1,True,`gtol` termination condition is satisfied.
